wandb: Currently logged in as: lukasskellijs (lgwlab) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.22.3
wandb: Run data is saved locally in runs/analysis-hg-phase-bs2/wandb/run-20260410_083634-rn6f0az8
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run analysis-hg-phase-bs2
wandb: ⭐️ View project at
Starting training for 1500 iterations...
Iteration 150/1500: Loss=0.975093, MSE=0.974497, Pen=0.000596, Best=0.975093 (iter 150)
Iteration 300/1500: Loss=0.827535, MSE=0.825656, Pen=0.001880, Best=0.806066 (iter 242)
Iteration 450/1500: Loss=0.800830, MSE=0.798925, Pen=0.001905, Best=0.800830 (iter 450)
Iteration 600/1500: Loss=0.776665, MSE=0.775534, Pen=0.001131, Best=0.776665 (iter 600)
Iteration 750/1500: Loss=0.764026, MSE=0.762742, Pen=0.001284, Best=0.762721 (iter 749)
Iteration 900/1500: Loss=0.752375, MSE=0.750983, Pen=0.001392, Best=0.752375 (iter 900)
Iteration 1050/1500: Loss=0.733976, MSE=0.732821, Pen=0.001155, Best=0.733885 (iter 1049)
Iteration 1200/1500: Loss=0.727939, MSE=0.726829, Pen=0.001110, Best=0.727929 (iter 1199)
Iteration 1350/1500: Loss=0.718927, MSE=0.717883, Pen=0.001044, Best=0.718927 (iter 1350)
Iteration 1500/1500: Loss=0.711302, MSE=0.710378, Pen=0.000924, Best=0.711302 (iter 1500)

Restoring best model from iteration 1500 (loss=0.711302)

Saving model parameters...
Best model parameters (iteration 1500, loss=0.711302) saved to runs/analysis-hg-phase-bs2/parameters
Transformation 'identity' matrix saved to runs/analysis-hg-phase-bs2/parameters/transformation_matrix.npy

Generating unitary transformation comparison...
Unitary comparison plot saved to runs/analysis-hg-phase-bs2/plots/unitary_comparison.png
  Fidelity: 0.4486
  MSE: 0.007104
Actual unitary matrix saved to runs/analysis-hg-phase-bs2/parameters/actual_unitary_matrix.npy
Run summary saved to runs/analysis-hg-phase-bs2/summary.json

================================================================================
Training completed successfully!
Results saved to: runs/analysis-hg-phase-bs2
================================================================================
   2%|▏         | 27/1500 [01:53<1:28:47,  3.62s/it]
Training:   4%|▍         | 57/1500 [03:50<1:32:49,  3.86s/it]
Training:   4%|▍         | 58/1500 [03:55<1:37:46,  4.07s/it]
Training:   4%|▍         | 59/1500 [03:59<1:40:43,  4.19s/it]
Training:   4%|▍         | 60/1500 [04:04<1:42:42,  4.28s/it]
Training:   4%|▍         | 61/1500 [04:04<1:16:41,  3.20s/it]
Training:   4%|▍         | 62/1500 [04:09<1:25:52,  3.58s/it]
Training:   4%|▍         | 63/1500 [04:13<1:32:59,  3.88s/it]
Training:   4%|▍         | 64/1500 [04:18<1:37:14,  4.06s/it]
Training:   4%|▍         | 65/1500 [04:22<1:39:58,  4.18s/it]
Training:   4%|▍         | 66/1500 [04:27<1:41:45,  4.26s/it]
Training:   4%|▍         | 67/1500 [04:31<1:43:13,  4.32s/it]
Training:   5%|▍         | 68/1500 [04:36<1:44:39,  4.38s/it]
Training:   5%|▍         | 69/1500 [04:40<1:45:06,  4.41s/it]
Training:   5%|▍         | 70/1500 [04:45<1:45:29,  4.43s/it]
Training:   5%|▍         | 71/1500 [04:49<1:46:11,  4.46s/it]
Training:   5%|▍         | 72/1500 [04:54<1:45:56,  4.45s/it]
Training:   5%|▍         | 73/1500 [04:54<1:17:16,  3.25s/it]
Training:   5%|▍         | 74/1500 [04:58<1:26:08,  3.62s/it]
Training:   5%|▌         | 75/1500 [05:03<1:31:58,  3.87s/it]
Training:   5%|▌         | 76/1500 [05:07<1:35:44,  4.03s/it]
Training:   5%|▌         | 77/1500 [05:12<1:38:27,  4.15s/it]
Training:   5%|▌         | 78/1500 [05:16<1:40:20,  4.23s/it]
Training:   5%|▌         | 79/1500 [05:21<1:42:32,  4.33s/it]
Training:   5%|▌         | 80/1500 [05:25<1:43:34,  4.38s/it]
Training:   5%|▌         | 81/1500 [05:30<1:44:31,  4.42s/it]
Training:   5%|▌         | 82/1500 [05:34<1:44:52,  4.44s/it]
Training:   6%|▌         | 83/1500 [05:39<1:45:20,  4.46s/it]
Training:   6%|▌         | 84/1500 [05:43<1:44:57,  4.45s/it]
Training:   6%|▌         | 85/1500 [05:48<1:45:16,  4.46s/it]
Training:   6%|▌         | 86/1500 [05:52<1:45:12,  4.46s/it]
Training:   6%|▌         | 87/1500 [05:57<1:44:46,  4.45s/it]
Training:   6%|▌         | 88/1500 [06:01<1:45:17,  4.47s/it]
Training:   6%|▌         | 89/1500 [06:06<1:44:53,  4.46s/it]
Training:   6%|▌         | 90/1500 [06:10<1:44:40,  4.45s/it]
Training:   6%|▌         | 91/1500 [06:14<1:44:25,  4.45s/it]
Training:   6%|▌         | 92/1500 [06:19<1:44:12,  4.44s/it]
Training:   6%|▌         | 93/1500 [06:23<1:44:48,  4.47s/it]
Training:   6%|▋         | 94/1500 [06:28<1:44:39,  4.47s/it]
Training:   6%|▋         | 95/1500 [06:32<1:44:25,  4.46s/it]
Training:   6%|▋         | 96/1500 [06:37<1:44:25,  4.46s/it]
Training:   6%|▋         | 97/1500 [06:41<1:44:24,  4.47s/it]
Training:   7%|▋         | 98/1500 [06:46<1:44:47,  4.48s/it]
Training:   7%|▋         | 99/1500 [06:50<1:44:30,  4.48s/it]
Training:   7%|▋         | 100/1500 [06:55<1:44:11,  4.47s/it]
Training:   7%|▋         | 101/1500 [06:59<1:44:19,  4.47s/it]
Training:   7%|▋         | 102/1500 [07:04<1:45:15,  4.52s/it]
Training:   7%|▋         | 103/1500 [07:08<1:44:33,  4.49s/it]
Training:   7%|▋         | 104/1500 [07:13<1:44:03,  4.47s/it]
Training:   7%|▋         | 105/1500 [07:17<1:43:41,  4.46s/it]
Training:   7%|▋         | 106/1500 [07:21<1:43:28,  4.45s/it]
Training:   7%|▋         | 107/1500 [07:26<1:43:51,  4.47s/it]
Training:   7%|▋         | 108/1500 [07:30<1:43:29,  4.46s/it]
Training:   7%|▋         | 109/1500 [07:35<1:43:09,  4.45s/it]
Training:   7%|▋         | 110/1500 [07:39<1:42:59,  4.45s/it]
Training:   7%|▋         | 111/1500 [07:44<1:42:57,  4.45s/it]
Training:   7%|▋         | 112/1500 [07:48<1:43:34,  4.48s/it]
Training:   8%|▊         | 113/1500 [07:53<1:43:09,  4.46s/it]
Training:   8%|▊         | 114/1500 [07:57<1:42:48,  4.45s/it]
Training:   8%|▊         | 115/1500 [08:02<1:42:32,  4.44s/it]
Training:   8%|▊         | 116/1500 [08:06<1:42:21,  4.44s/it]
Training:   8%|▊         | 117/1500 [08:10<1:42:48,  4.46s/it]
Training:   8%|▊         | 118/1500 [08:15<1:42:33,  4.45s/it]
Training:   8%|▊         | 119/1500 [08:19<1:42:17,  4.44s/it]
Training:   8%|▊         | 120/1500 [08:24<1:42:07,  4.44s/it]
Training:   8%|▊         | 121/1500 [08:28<1:42:28,  4.46s/it]
Training:   8%|▊         | 122/1500 [08:33<1:42:09,  4.45s/it]
Training:   8%|▊         | 123/1500 [08:37<1:41:59,  4.44s/it]
Training:   8%|▊         | 124/1500 [08:42<1:41:44,  4.44s/it]
Training:   8%|▊         | 125/1500 [08:46<1:41:36,  4.43s/it]
Training:   8%|▊         | 126/1500 [08:50<1:41:58,  4.45s/it]
Training:   8%|▊         | 127/1500 [08:55<1:41:51,  4.45s/it]
